,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
227,Wanning,AT,42.53,48.64,13.53,70,8,4.7
228,New Norfolk,AU,64.71,-42.78,147.06,48,75,17.22
229,Sneek,NL,48.16,53.03,5.66,93,8,11.41
230,Adrar,DZ,64.4,27.87,-0.29,36,0,8.05
231,Coahuayana,MX,83.72,18.62,-100.35,25,24,3.4
232,Tefe,BR,78.86,-3.35,-64.71,95,20,1.39
233,Paamiut,GL,33.86,61.99,-49.67,90,36,37.51
234,Tawang,BT,39.53,27.59,91.87,57,80,1.39
235,Mabaruma,GY,79.49,8.2,-59.78,78,92,10.11
236,Biak,ID,79.94,-0.91,122.88,98,48,2.51
237,Airai,TL,76.88,-8.93,125.41,67,0,1.95
238,Talnakh,RU,16.58,69.49,88.39,88,76,11.34
239,Polovinnoye,RU,22.79,54.79,65.99,62,0,4.63
240,Trelew,AR,71.03,-43.25,-65.31,35,0,9.66
241,Byron Bay,AU,78.75,-28.65,153.62,57,0,10.29
242,Labuhan,ID,74.45,-2.54,115.51,96,80,1.05
243,Puerto Colombia,CO,80.6,10.99,-74.96,78,0,13.87
244,Samarai,PG,76.79,-10.62,150.67,100,92,2.73
245,Nago,IT,47.91,45.88,10.89,100,40,3.36
246,Luanda,AO,80.6,-8.83,13.24,88,75,2.24
247,Ayan,TR,33.23,40.67,33.6,73,44,2.17
248,Sokolo,ML,82.19,14.74,-6.12,27,8,15.82
249,Vila Velha,BR,80.85,-3.71,-38.6,78,75,3.36
250,Winsum,NL,46.67,53.33,6.52,93,0,5.82
251,Sao Joao da Barra,BR,82.01,-21.64,-41.05,95,0,20.29
252,Bulgan,MN,20,48.81,103.53,75,32,2.73
253,Kodinsk,RU,22.16,58.6,99.18,77,44,3.18
254,Yatou,CM,78.8,3.63,9.81,100,75,3.36
255,Carutapera,BR,77.24,-1.2,-46.02,96,92,6.64
256,Carman,CA,43.63,49.51,-98,100,90,6.93
257,Skovorodino,RU,32.78,53.99,123.94,56,8,7.43
258,Alaca,TR,36.83,40.17,34.84,86,88,2.95
259,Te Anau,NZ,54.38,-45.41,167.72,50,0,3.62
260,Gushikawa,JP,75.67,26.35,127.87,78,1,6.93
261,Zhezkazgan,KZ,31.61,47.8,67.71,89,0,9.66
262,Batticaloa,LK,75.89,7.71,81.69,100,0,4.41
263,Freetown,BS,77,26.61,-78.36,78,75,5.82
264,Topaipi,CO,73.19,5.33,-74.3,80,56,1.5
265,Blagoveshchensk,RU,39.2,50.29,127.53,44,0,11.18
266,Coihaique,CL,50.99,-45.58,-72.07,76,0,2.24
267,Dongsheng,CN,68.24,29.72,112.52,81,0,11.45
268,Noshiro,JP,45.28,40.21,140.05,100,75,17.22
269,Sundargarh,IN,64.01,22.12,84.04,91,24,2.95
270,Faya,SA,63.48,18.39,42.45,55,0,11.41
271,San Cristobal,EC,56.26,-0.39,-78.55,76,75,10.29
272,Srikakulam,IN,82.82,18.29,83.89,100,12,10
273,Itacoatiara,BR,83.72,-3.14,-58.44,71,24,5.19
274,Winnemucca,US,54.5,40.97,-117.74,39,1,10.29
275,Tilichiki,RU,30.71,60.47,166.1,93,0,4.07
276,Baker City,US,47.68,44.77,-117.83,62,20,12.75
277,Walvis Bay,NA,58.32,-22.95,14.51,87,0,9.17
278,Keti Bandar,PK,81.02,24.14,67.45,90,0,14.14
279,Impfondo,CD,74.81,1.62,18.06,90,56,2.17
280,Nikolayevsk-na-amure,RU,26.84,53.14,140.72,93,80,12.91
281,Florida,CU,75.2,21.53,-78.23,83,20,10.29
282,Belen,TR,60.6,36.49,36.19,82,75,4.7
283,Qaqortoq,GL,33.8,60.72,-46.03,80,20,2.24
284,Provideniya,RU,17.21,64.42,-173.23,100,36,5.75
285,Yeppoon,AU,80.6,-23.13,150.74,51,40,10.29
286,Wajima,JP,60.8,37.4,136.9,25,0,11.41
287,Calabozo,VE,88.85,8.92,-67.43,36,8,12.57
288,Dingle,PH,79.04,11,122.67,95,20,8.43
289,Geraldton,CA,39.2,49.72,-86.95,51,20,4.7
290,Lorengau,PG,84.44,-2.02,147.27,94,32,6.2
291,Lavrentiya,RU,14.24,65.58,-170.99,100,24,8.99
292,Souillac,FR,39.4,45.6,-0.6,100,20,2.24
293,Ribeira Grande,PT,59.24,38.52,-28.7,100,68,26.11
294,Marawi,PH,82.99,8,124.29,79,64,5.01
295,Narsaq,GL,33.8,60.91,-46.05,80,36,2.24
296,Alepe,CI,82.4,5.5,-3.66,94,20,5.82
297,Fortuna,ES,51.4,38.18,-1.13,57,20,6.93
298,Coruripe,BR,83.54,-10.12,-36.18,92,68,12.01
299,Ambon,FR,46.11,47.55,-2.56,100,90,8.05
300,Metro,ID,80.84,-5.11,105.31,87,20,7.31
301,Nanortalik,GL,32.06,60.14,-45.24,91,68,17.27
302,Lahijan,IR,54.57,37.21,50,93,90,2.62
303,Haines Junction,CA,36.83,60.75,-137.51,71,0,2.73
304,Husavik,CA,41.83,50.56,-96.99,61,88,12.12
305,Goderich,CA,47.84,43.74,-81.71,82,0,8.01
306,Ambilobe,MG,71.48,-13.19,49.05,83,0,5.19
307,Vila Franca do Campo,PT,56.82,37.72,-25.43,87,75,25.28
308,Sechura,PE,76.52,-5.56,-80.82,73,12,9.22
309,Fonte Boa,BR,80.84,-2.51,-66.09,86,24,4.41
310,Green River,US,43,41.53,-109.47,45,1,20.8
311,Cruz Alta,AR,59.78,-33.01,-61.81,57,0,7.65
312,Turukhansk,RU,19.28,65.8,87.96,88,80,15.26
313,Sambava,MG,80.39,-14.27,50.17,100,68,15.7
314,Ca Mau,VN,81.02,9.18,105.15,88,56,8.66
315,Ebebiyin,GQ,75.35,2.15,11.34,87,76,3.4
316,Kainantu,PG,71.57,-6.29,145.87,85,32,1.95
317,Srednekolymsk,RU,15.23,67.46,153.71,80,0,3.18
318,Virginia Beach,US,52.86,36.85,-75.98,100,90,4.7
319,Jacareacanga,BR,76.79,-6.22,-57.76,92,32,1.72
320,San Policarpo,PH,79.58,12.18,125.51,96,68,8.43
321,El Alto,BO,42.8,-16.5,-68.19,93,75,6.93
322,Savannah Bight,HN,81.02,16.45,-85.85,94,0,21.74
323,Touros,BR,78.05,-5.2,-35.46,100,92,4.29
324,Suslonger,RU,35.6,56.32,48.25,100,75,8.95
325,Kiunga,PG,74.18,-6.12,141.3,98,92,2.84
326,Aykhal,RU,21.71,65.95,111.51,80,68,11.34
327,Mayo,CA,35.6,63.59,-135.9,47,90,13.87
328,Kungurtug,RU,19.64,50.6,97.53,84,64,3.18
329,Lancaster,US,54.55,40.04,-76.31,67,1,5.82
330,Igarka,RU,18.74,67.47,86.57,91,76,6.42
331,Tabuk,PH,71.12,17.41,121.44,91,20,1.95
332,Bondoukou,CI,80.03,8.04,-2.8,81,12,9.44
333,Muros,ES,42.22,42.77,-9.06,93,40,1.12
334,Pontes e Lacerda,BR,69.86,-15.23,-59.33,84,100,3.85
335,Abu Samrah,SY,55.46,35.3,37.18,89,88,3.18
336,Flin Flon,CA,33.68,54.77,-101.88,65,80,12.12
337,Torbay,CA,32.2,47.66,-52.73,90,90,12.75
338,General Roca,AR,62.6,-39.03,-67.58,63,0,2.24
339,Pathein,MM,76.34,16.78,94.73,93,0,7.87
340,Olavarria,AR,61,-36.89,-60.32,63,8,7.65
341,Viransehir,TR,52.4,37.24,39.76,98,92,6.53
342,Rio Grande,BR,69.41,-32.03,-52.1,97,88,12.35
343,Jizan,SA,84.2,16.89,42.56,74,0,6.93
344,Mount Isa,AU,84.2,-20.73,139.49,45,0,12.75
345,Beringovskiy,RU,12.98,63.05,179.32,100,44,23.09
346,Finschhafen,PG,77.24,-6.6,147.85,90,80,1.28
347,Enterprise,US,74.59,36.05,-115.22,23,40,3.36
348,Valentin Gomez Farias,MX,69.24,24.05,-104.7,10,5,16.11
349,Porto Walter,BR,73.01,-8.27,-72.74,93,88,4.18
350,Tulum,MX,79.84,20.21,-87.46,78,20,9.17
351,Buala,SB,87.05,-8.15,159.59,82,36,2.95
352,Boa Vista,BR,87.8,2.82,-60.67,45,0,10.29
353,Isangel,VU,82.4,-19.55,169.27,58,40,14.99
354,Nova Zagora,BG,46.4,42.49,26.01,87,90,4.7
355,Henties Bay,NA,59,-22.12,14.28,88,0,5.01
356,Avera,US,64.67,33.19,-82.53,87,90,5.82
357,Morris,US,59.65,41.36,-88.42,67,1,6.93
358,Kaduqli,SD,65.36,11.01,29.72,57,0,2.62
359,Lazaro Cardenas,MX,69.8,28.39,-105.62,19,40,9.17
360,Aksarka,RU,23.87,66.56,67.8,78,0,18.05
361,Rumonge,BI,71.3,-3.97,29.44,100,12,2.73
362,Svetlogorsk,RU,26.6,53.14,59.15,92,8,6.71
363,Sawakin,SD,62.66,19.1,37.33,100,0,4.41
364,Sohag,EG,71.6,26.55,31.7,24,0,6.93
365,Hare Bay,CA,28.49,48.86,-53.99,100,90,10.29
366,Casas Grandes,MX,71.93,30.15,-110.24,27,36,2.73
367,Vysha,RU,32.6,53.85,42.38,97,68,3.06
368,Sorland,NO,37.64,67.67,12.69,100,12,24.87
369,Udachnyy,RU,23.15,66.42,112.4,76,48,7.65
370,Saint-Pierre,FR,39.81,48.95,4.24,81,0,5.82
371,Harstad,NO,32,68.8,16.53,100,44,18.34
372,Ishigaki,JP,77,24.34,124.16,88,40,6.93
373,Worland,US,57.47,44.02,-107.96,26,40,13.87
374,Hatillo,PR,74.21,18.49,-66.83,78,1,13.87
375,Lafia,NG,81.83,8.5,8.51,65,12,10.67
376,Ankang,CN,55.91,32.73,108.99,71,0,1.95
377,Araguari,BR,75.08,-18.65,-48.19,78,36,2.28
378,Chuy,UY,63.56,-33.69,-53.46,87,92,5.19
379,Coracao de Jesus,BR,71.6,-16.69,-44.37,88,0,4.97
380,Zilair,RU,23.87,52.23,57.44,82,8,3.96
381,Mahibadhoo,MV,83.36,3.78,72.97,100,44,2.28
382,Juegang,CN,73,32.31,121.18,54,8,12.8
383,Dillon,US,45.28,45.22,-112.64,56,1,8.05
384,Sembakung,ID,82.4,3.82,117.25,83,75,3.36
385,Minsk,BY,41,53.9,27.56,65,0,13.42
386,Shimoda,JP,65.77,34.7,138.93,59,0,3.36
387,Komsomolskiy,RU,24.59,67.55,63.78,88,80,19.06
388,Cairns,AU,77.72,-16.92,145.77,74,75,10.29
389,Edd,ER,70.58,13.93,41.69,93,0,2.39
390,Yukhnov,RU,27.92,54.74,35.23,74,0,2.84
391,Rodrigues Alves,BR,73.55,-7.74,-72.65,97,92,4.97
392,Berlevag,NO,28.46,70.86,29.09,100,32,12.24
393,Erice,IT,54.1,38.04,12.59,71,20,9.17
394,Rawson,AR,71.03,-43.3,-65.11,35,0,9.66
395,Sisimiut,GL,24.68,66.94,-53.67,65,24,5.08
396,Sangar,RU,27.11,63.92,127.47,66,12,4.97
397,Bilma,NE,72.29,18.69,12.92,22,0,3.29
398,Beausejour,CA,45.14,50.06,-96.51,65,75,8.05
399,Asbestos,CA,37.11,45.78,-71.93,86,75,6.93
400,Cruzeiro do Sul,BR,73.55,-7.63,-72.67,97,92,4.97
401,Ola,RU,35.66,59.58,151.3,83,0,13.47
402,Baykit,RU,27.74,61.68,96.39,89,80,4.07
403,Hambantota,LK,75.2,6.12,81.12,100,0,1.12
404,Putina,PE,48.2,-14.91,-69.87,61,40,1.12
405,Colinas,BR,74.18,-6.03,-44.25,97,80,2.39
406,Pangnirtung,CA,19.28,66.15,-65.72,79,88,4.74
407,Marsa Matruh,EG,60.8,31.35,27.25,93,20,2.24
408,Beyneu,KZ,48.53,45.32,55.19,69,88,13.47
409,Baherden,TM,54.11,38.44,57.43,100,92,4.52
410,Konstantinovo,BG,46.4,42,25.79,87,90,4.7
411,Tezu,IN,59.06,27.93,96.16,59,8,2.06
412,San Jose,PH,76.79,15.79,120.99,85,0,2.95
413,Raudeberg,NO,40.48,61.99,5.14,60,8,9.17
414,Zeljezno Polje,BA,39.44,44.41,17.93,87,0,2.73
415,Kud,IN,53.84,33.08,75.29,57,0,3.4
416,Mujiayingzi,CN,34.49,42.12,118.78,48,36,3.96
417,Petropavlovsk-Kamchatskiy,RU,39.2,53.05,158.65,55,40,11.18
418,Makakilo City,US,82.8,21.35,-158.09,58,1,12.75
419,Linkou,CN,37.64,45.29,130.27,64,0,6.31
420,Spolaita,GR,51.4,38.7,21.35,76,20,9.17
421,Midleton,IE,45.59,51.91,-8.17,75,40,9.17
422,Teya,MX,90.59,21.05,-89.07,38,5,17.22
423,Hohhot,CN,51.8,40.81,111.65,21,20,2.24
424,Koumac,NC,79.85,-20.56,164.28,72,0,5.53
425,Aklavik,CA,17.6,68.22,-135.01,52,75,9.17
426,Kamariotissa,GR,53.6,40.48,25.47,93,75,10.29
427,Vila,IT,49.55,45.18,8.4,81,75,5.82
428,Laguna,MX,77,27.52,-110.01,31,20,6.93
429,Tanete,ID,82.01,-3.94,119.78,80,24,4.74
430,Gavle,SE,37.99,60.67,17.14,78,92,4
431,Yerofey Pavlovich,RU,30.98,53.97,121.97,48,68,7.76
432,Phimai,TH,81.9,15.22,102.49,83,24,4.7
433,Gallup,US,56.35,35.53,-108.74,43,90,6.93
434,Vostok,RU,31.79,46.45,135.83,84,12,2.51
